Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
841,2006,Pro,MLS,Houston Dynamo,"Houston, TX",New England Revolution,"Greater Boston, MA",Colorado Rapids,"Denver, CO",D.C. United,"Washington, DC Metro Area",1
855,2007,Pro,MLS,Houston Dynamo,"Houston, TX",New England Revolution,"Greater Boston, MA",Kansas City Wizards,"Kansas City, MO",Chicago Fire,"Chicago, IL",2
868,2008,Pro,MLS,Columbus Crew,"Columbus, OH",New York Red Bulls,New York Metro Area,Real Salt Lake,"Salt Lake City, UT",Chicago Fire,"Chicago, IL",1
880,2009,Pro,MLS,Real Salt Lake,"Salt Lake City, UT",Los Angeles Galaxy,"Greater Los Angeles, CA",Chicago Fire,"Chicago, IL",Houston Dynamo,"Houston, TX",1
893,2010,Pro,MLS,Colorado Rapids,"Denver, CO",FC Dallas,"Dallas-Fort Worth, TX",Los Angeles Galaxy,"Greater Los Angeles, CA",San Jose Earthquakes,"San Jose-Santa Clara, CA",1
906,2011,Pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",Houston Dynamo,"Houston, TX",Sporting Kansas City,"Kansas City, MO",Real Salt Lake,"Salt Lake City, UT",1
920,2012,Pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",Houston Dynamo,"Houston, TX",Seattle Sounders FC,"Seattle,WA",D.C. United,"Washington, DC Metro Area",2
933,2013,Pro,MLS,Sporting Kansas City,"Kansas City, MO",Real Salt Lake,"Salt Lake City, UT",Houston Dynamo,"Houston, TX",Portland Timbers,"Portland Metro Area, OR",1
945,2014,Pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",New England Revolution,"Greater Boston, MA",Seattle Sounders FC,"Seattle,WA",New York Red Bulls,New York Metro Area,1
958,2015,Pro,MLS,Portland Timbers,"Portland Metro Area, OR",Columbus Crew,"Columbus, OH",FC Dallas,"Dallas-Fort Worth, TX",New York Red Bulls,New York Metro Area,1
972,2016,Pro,MLS,Seattle Sounders FC,"Seattle,WA",Toronto FC,"Toronto, ON",Montreal Impact,"Montreal, QC",Colorado Rapids,"Denver, CO",1
985,2017,Pro,MLS,Toronto FC,"Toronto, ON",Seattle Sounders FC,"Seattle,WA",Columbus Crew,"Columbus, OH",Houston Dynamo,"Houston, TX",1
236,1947,Pro,NBA,Philadelphia Warriors,"Greater Philadelphia, PA",Chicago Stags,"Chicago, IL",New York Knicks,New York Metro Area,Washington Capitols,"Washington, DC Metro Area",1
