Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
796,2003,College,Basketball (M),Syracuse Orange,"Syracuse, NY",Kansas Jayhawks,"Lawrence, KS",Texas Longhorns,"Austin, TX",Marquette Golden Eagles,"Milwaukee, WI",1
810,2004,College,Basketball (M),Connecticut Huskies,"Hartford, CT",Georgia Tech Yellow Jackets,"Atlanta, GA",Duke Blue Devils,"Greater Raleigh, NC",Oklahoma State Cowboys,"Stillwater, OK",1
823,2005,College,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Illinois Fighting Illini,"Champaign-Urbana, IL",Michigan State Spartans,"East Lansing, MI",Louisville Cardinals,"Louisville, KY",1
835,2006,College,Basketball (M),Florida Gators,"Gainesville, FL",UCLA Bruins,"Greater Los Angeles, CA",George Mason Patriots,"Washington, DC Metro Area",LSU Fighting Tigers,"Baton Rouge, LA",1
848,2007,College,Basketball (M),Florida Gators,"Gainesville, FL",Ohio State Buckeyes,"Columbus, OH",UCLA Bruins,"Greater Los Angeles, CA",Georgetown Hoyas,"Washington, DC Metro Area",2
861,2008,College,Basketball (M),Kansas Jayhawks,"Lawrence, KS",,,North Carolina Tar Heels,"Greater Raleigh, NC",UCLA Bruins,"Greater Los Angeles, CA",1
874,2009,College,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Michigan State Spartans,"East Lansing, MI",Villanova Wildcats,"Greater Philadelphia, PA",Connecticut Huskies,"Hartford, CT",1
887,2010,College,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Butler Bulldogs,"Indianapolis Metro Area, IN",West Virginia Mountaineers,"Morgantown, WV",Michigan State Spartans,"East Lansing, MI",1
900,2011,College,Basketball (M),Connecticut Huskies,"Hartford, CT",Butler Bulldogs,"Indianapolis Metro Area, IN",Kentucky Wildcats,"Lexington-Fayette, KY",VCU Rams,"Richmond, VA",1
913,2012,College,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Kansas Jayhawks,"Lawrence, KS",Ohio State Buckeyes,"Columbus, OH",,,1
938,2014,College,Basketball (M),Connecticut Huskies,"Hartford, CT",Kentucky Wildcats,"Lexington-Fayette, KY",Florida Gators,"Gainesville, FL",Wisconsin Badgers,"Madison, WI",1
951,2015,College,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Wisconsin Badgers,"Madison, WI",Michigan State Spartans,"East Lansing, MI",Kentucky Wildcats,"Lexington-Fayette, KY",1
964,2016,College,Basketball (M),Villanova Wildcats,"Greater Philadelphia, PA",North Carolina Tar Heels,"Greater Raleigh, NC",Oklahoma Sooners,"Oklahoma City, OK",Syracuse Orange,"Syracuse, NY",1
977,2017,College,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Gonzaga Bulldogs,"Spokane, WA",Oregon Ducks,"Eugene, OR",South Carolina Gamecocks,"Columbia, SC",1
990,2018,College,Basketball (M),Loyola Ramblers,"Chicago, IL",Kansas State Wildcats,"Manhattan, KS",Kentucky Wildcats,"Lexington-Fayette, KY",Nevada Wolf Pack,"Reno, NV",1
536,1982,College,Basketball (W),Louisiana Tech Bulldogs,"Monroe, LA",Cheyney Wolves,"Cheyney, PA",Tennessee Volunteers,"Knoxville, TN",Maryland Terrapins,"Washington, DC Metro Area",1
549,1983,College,Basketball (W),South Carolina Gamecocks,"Columbia, SC",Louisiana Tech Bulldogs,"Monroe, LA",Old Dominion Monarchs,"Norfolk, VA",Georgia Bulldogs,"Athens, GA",1
560,1984,College,Basketball (W),South Carolina Gamecocks,"Columbia, SC",Tennessee Volunteers,"Knoxville, TN",Cheyney University of Pennsylvania,ERROR,Louisiana Tech Bulldogs,"Monroe, LA",2
573,1985,College,Basketball (W),Old Dominion Monarchs,"Norfolk, VA",Georgia Bulldogs,"Athens, GA",Western Kentucky Hilltoppers,"Bowling Green, KY",Louisiana-Monroe Warhawks,"Monroe, LA",1
585,1986,College,Basketball (W),Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",Western Kentucky Hilltoppers,"Bowling Green, KY",Tennessee Volunteers,"Knoxville, TN",1
596,1987,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Louisiana Tech Bulldogs,"Monroe, LA",Texas Longhorns,"Austin, TX",Long Beach State 49ers,"Greater Los Angeles, CA",1
608,1988,College,Basketball (W),Louisiana Tech Bulldogs,"Monroe, LA",Auburn Tigers,"Auburn, AL",Long Beach State 49ers,"Greater Los Angeles, CA",Tennessee Volunteers,"Knoxville, TN",1
620,1989,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Auburn Tigers,"Auburn, AL",Louisiana Tech Bulldogs,"Monroe, LA",Maryland Terrapins,"Washington, DC Metro Area",1
632,1990,College,Basketball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Auburn Tigers,"Auburn, AL",Virginia Cavaliers,"Charlottesville, VA",Louisiana Tech Bulldogs,"Monroe, LA",1
645,1991,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Virginia Cavaliers,"Charlottesville, VA",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA",1
659,1992,College,Basketball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Western Kentucky Hilltoppers,"Bowling Green, KY",Missouri State University,ERROR,Virginia Cavaliers,"Charlottesville, VA",1
671,1993,College,Basketball (W),Texas Tech Red Raiders,"Lubbock, TX",Ohio State Buckeyes,"Columbus, OH",Iowa Hawkeyes,"Iowa City, IA",Vanderbilt Commodores,"Nashville, TN",1
682,1994,College,Basketball (W),North Carolina Tar Heels,"Greater Raleigh, NC",Louisiana Tech Bulldogs,"Monroe, LA",Purdue Boilermakers,"West Lafayette, IN",Alabama Crimson Tide,"Tuscaloosa, AL",1
694,1995,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Stanford Cardinal,"San Francisco Bay Area, CA",Georgia Bulldogs,"Athens, GA",1
705,1996,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Georgia Bulldogs,"Athens, GA",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA",1
718,1997,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Old Dominion Monarchs,"Norfolk, VA",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",2
732,1998,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Louisiana Tech Bulldogs,"Monroe, LA",Arkansas Razorbacks,"Northwest Arkansas, AR",North Carolina State Wolfpack,"Greater Raleigh, NC",3
746,1999,College,Basketball (W),Purdue Boilermakers,"West Lafayette, IN",Duke Blue Devils,"Greater Raleigh, NC",Louisiana Tech Bulldogs,"Monroe, LA",Georgia Bulldogs,"Athens, GA",1
759,2000,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Rutgers Scarlet Knights,"New Brunswick, NJ",Penn State Nittany Lions,"State College, PA",1
771,2001,College,Basketball (W),Notre Dame Fighting Irish,"Notre Dame, IN",Purdue Boilermakers,"West Lafayette, IN",Connecticut Huskies,"Hartford, CT",Missouri State Bears,"Springfield, MO",1
785,2002,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Oklahoma Sooners,"Oklahoma City, OK",Tennessee Volunteers,"Knoxville, TN",Duke Blue Devils,"Greater Raleigh, NC",1
797,2003,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Texas Longhorns,"Austin, TX",Duke Blue Devils,"Greater Raleigh, NC",2
812,2004,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Minnesota Golden Gophers,"Twin Cities, MN",LSU Fighting Tigers,"Baton Rouge, LA",3
825,2005,College,Basketball (W),Baylor Bears,"Waco, TX",Michigan State Spartans,"East Lansing, MI",LSU Fighting Tigers,"Baton Rouge, LA",Tennessee Volunteers,"Knoxville, TN",1
837,2006,College,Basketball (W),Maryland Terrapins,"Washington, DC Metro Area",Duke Blue Devils,"Greater Raleigh, NC",North Carolina Tar Heels,"Greater Raleigh, NC",LSU Fighting Tigers,"Baton Rouge, LA",1
850,2007,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Rutgers Scarlet Knights,"New Brunswick, NJ",North Carolina Tar Heels,"Greater Raleigh, NC",LSU Fighting Tigers,"Baton Rouge, LA",1
863,2008,College,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Stanford Cardinal,"San Francisco Bay Area, CA",LSU Fighting Tigers,"Baton Rouge, LA",Connecticut Huskies,"Hartford, CT",2
875,2009,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Louisville Cardinals,"Louisville, KY",Stanford Cardinal,"San Francisco Bay Area, CA",Oklahoma Sooners,"Oklahoma City, OK",1
889,2010,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA",Baylor Bears,"Waco, TX",Oklahoma Sooners,"Oklahoma City, OK",2
901,2011,College,Basketball (W),Texas A&M Aggies,"College Station, TX",Notre Dame Fighting Irish,"Notre Dame, IN",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA",1
915,2012,College,Basketball (W),Baylor Bears,"Waco, TX",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",Connecticut Huskies,"Hartford, CT",1
927,2013,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Louisville Cardinals,"Louisville, KY",California Golden Bears,"San Francisco Bay Area, CA",Notre Dame Fighting Irish,"Notre Dame, IN",1
940,2014,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",Maryland Terrapins,"Washington, DC Metro Area",2
953,2015,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Notre Dame Fighting Irish,"Notre Dame, IN",South Carolina Gamecocks,"Columbia, SC",Maryland Terrapins,"Washington, DC Metro Area",3
965,2016,College,Basketball (W),Connecticut Huskies,"Hartford, CT",Syracuse Orange,"Syracuse, NY",Oregon State Beavers,"Corvallis, OR",Washington Huskies,"Seattle,WA",4
978,2017,College,Basketball (W),South Carolina Gamecocks,"Columbia, SC",Mississippi State Bulldogs,"Starkville, MS",Connecticut Huskies,"Hartford, CT",Stanford Cardinal,"San Francisco Bay Area, CA",1
991,2018,College,Basketball (W),Notre Dame Fighting Irish,"Notre Dame, IN",Mississippi State Bulldogs,"Starkville, MS",Louisville Cardinals,"Louisville, KY",Connecticut Huskies,"Hartford, CT",1
51,1909,Pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Toronto Parkdale Canoe Club,"Toronto, ON",,,,,1
54,1910,Pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Hamilton Tigers,"Hamilton, ON",,,,,2
58,1911,Pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Toronto Argonauts,"Toronto, ON",,,,,3
62,1912,Pro,CFL,Hamilton Alerts,"Hamilton, ON",Toronto Argonauts,"Toronto, ON",,,,,1
66,1913,Pro,CFL,Hamilton Tigers,"Hamilton, ON",Toronto Parkdale Canoe Club,"Toronto, ON",,,,,1
69,1914,Pro,CFL,Toronto Argonauts,"Toronto, ON",University of Toronto Varsity Blues,"Toronto, ON",,"Toronto, ON",,"Toronto, ON",1
72,1915,Pro,CFL,Hamilton Tigers,"Hamilton, ON",Toronto Rowing Association,"Toronto, ON",,"Toronto, ON",,"Toronto, ON",1
89,1920,Pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Toronto Argonauts,"Toronto, ON",,,,,1
93,1921,Pro,CFL,Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",,,,,1
99,1922,Pro,CFL,Queen's Gaels,"Kingston, ON",Edmonton Elks,"Edmonton, AB",,,,,1
106,1923,Pro,CFL,Queen's Gaels,"Kingston, ON",Regina Rugby Club,"Regina, SK",,,,,2
111,1924,Pro,CFL,Queen's Gaels,"Kingston, ON",Toronto Balmy Beach,"Toronto, ON",,,,,3
117,1925,Pro,CFL,Ottawa Senators,"Ottawa, ON",Winnipeg Tammany Tigers,"Winnipeg, MB",,,,,1
121,1926,Pro,CFL,Ottawa Senators,"Ottawa, ON",Toronto Varsity Blues,"Toronto, ON",,"Toronto, ON",,"Toronto, ON",2
127,1927,Pro,CFL,Toronto Balmy Beach,"Toronto, ON",Hamilton Tigers,"Hamilton, ON",,,,,1
133,1928,Pro,CFL,Hamilton Tigers,"Hamilton, ON",Regina Roughriders,"Regina, SK",,,,,1
138,1929,Pro,CFL,Hamilton Tigers,"Hamilton, ON",Regina Roughriders,"Regina, SK",,,,,2
144,1930,Pro,CFL,Toronto Balmy Beach,"Toronto, ON",Regina Roughriders,"Regina, SK",,,,,1
150,1931,Pro,CFL,Montreal AAA Winged Wheelers,"Montreal, QC",Regina Roughriders,"Regina, SK",,,,,1
155,1932,Pro,CFL,Hamilton Tigers,"Hamilton, ON",Regina Roughriders,"Regina, SK",,,,,1
160,1933,Pro,CFL,Toronto Argonauts,"Toronto, ON",Sarnia Imperials,"Sarnia, ON",,,,,1
164,1934,Pro,CFL,Sarnia Imperials,"Sarnia, ON",Regina Roughriders,"Regina, SK",,,,,1
169,1935,Pro,CFL,Winnipeg ‘Pegs,"Winnipeg, MB",Hamilton Tigers,"Hamilton, ON",,,,,1
175,1936,Pro,CFL,Sarnia Imperials,"Sarnia, ON",Ottawa Rough Riders,"Ottawa, ON",,,,,1
179,1937,Pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,1
184,1938,Pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,2
190,1939,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON",,,,,1
197,1940,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Toronto Balmy Beach,"Toronto, ON",,,,,1
202,1941,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON",,,,,1
208,1942,Pro,CFL,Toronto RCAF Hurricanes,"Toronto, ON",Winnipeg RCAF Bombers,"Winnipeg, MB",,,,,1
214,1943,Pro,CFL,Hamilton Flying Wildcats,"Hamilton, ON",Winnipeg RCAF Bombers,"Winnipeg, MB",,,,,1
220,1944,Pro,CFL,St. Hyacinthe-Donnacona Navy,"Montreal, QC",Hamilton Flying Wildcats,"Hamilton, ON",,,,,1
226,1945,Pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,1
232,1946,Pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,2
240,1947,Pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,3
248,1948,Pro,CFL,Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",,,,,1
256,1949,Pro,CFL,Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",,,,,1
264,1950,Pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,1
272,1951,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Saskatchewan Roughriders,"Regina, SK",,,,,1
280,1952,Pro,CFL,Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",,,,,1
288,1953,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,,1
296,1954,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",,,,,1
305,1955,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",,,,,2
313,1956,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",,,,,3
321,1957,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",1
330,1958,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Ottawa Rough Riders,"Ottawa, ON",1
339,1959,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Ottawa Rough Riders,"Ottawa, ON",2
347,1960,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Edmonton Eskimos,"Edmonton, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Toronto Argonauts,"Toronto, ON",1
357,1961,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",1
366,1962,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Calgary Stampeders,"Calgary, AB",Montreal Alouettes,"Montreal, QC",2
373,1963,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",BC Lions,"Vancouver, BC",Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON",1
381,1964,Pro,CFL,BC Lions,"Vancouver, BC",Hamilton Tiger-Cats,"Hamilton, ON",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",1
391,1965,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",1
400,1966,Pro,CFL,Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",1
410,1967,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Saskatchewan Roughriders,"Regina, SK",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",1
418,1968,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Calgary Stampeders,"Calgary, AB",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON",1
426,1969,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Saskatchewan Roughriders,"Regina, SK",Calgary Stampeders,"Calgary, AB",Toronto Argonauts,"Toronto, ON",2
434,1970,Pro,CFL,Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",Saskatchewan Roughriders,"Regina, SK",Hamilton Tiger-Cats,"Hamilton, ON",1
444,1971,Pro,CFL,Calgary Stampeders,"Calgary, AB",Toronto Argonauts,"Toronto, ON",Saskatchewan Roughriders,"Regina, SK",Hamilton Tiger-Cats,"Hamilton, ON",1
452,1972,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Saskatchewan Roughriders,"Regina, SK",Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON",1
460,1973,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Edmonton Eskimos,"Edmonton, AB",Saskatchewan Roughriders,"Regina, SK",Montreal Alouettes,"Montreal, QC",1
469,1974,Pro,CFL,Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON",1
478,1975,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON",1
486,1976,Pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Saskatchewan Roughriders,"Regina, SK",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON",1
494,1977,Pro,CFL,Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",BC Lions,"Vancouver, BC",Ottawa Rough Riders,"Ottawa, ON",1
502,1978,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",1
512,1979,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",2
521,1980,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Montreal Alouettes,"Montreal, QC",3
530,1981,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Ottawa Rough Riders,"Ottawa, ON",BC Lions,"Vancouver, BC",Hamilton Tiger-Cats,"Hamilton, ON",4
541,1982,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON",5
553,1983,Pro,CFL,Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",1
565,1984,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",1
577,1985,Pro,CFL,BC Lions,"Vancouver, BC",Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Montreal Concordes,"Montreal, QC",1
589,1986,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",BC Lions,"Vancouver, BC",Toronto Argonauts,"Toronto, ON",1
601,1987,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",BC Lions,"Vancouver, BC",1
613,1988,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",BC Lions,"Vancouver, BC",Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",1
625,1989,Pro,CFL,Saskatchewan Roughriders,"Regina, SK",Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",1
637,1990,Pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Calgary Stampeders,"Calgary, AB",Toronto Argonauts,"Toronto, ON",1
650,1991,Pro,CFL,Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",1
663,1992,Pro,CFL,Calgary Stampeders,"Calgary, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON",1
675,1993,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON",1
686,1994,Pro,CFL,BC Lions,"Vancouver, BC",Baltimore Stallions,"Baltimore, MD",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB",1
698,1995,Pro,CFL,Baltimore Stallions,"Baltimore, MD",Calgary Stampeders,"Calgary, AB",Edmonton Eskimos,"Edmonton, AB",San Antonio Texans,"San Antonio, TX",1
711,1996,Pro,CFL,Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",Calgary Stampeders,"Calgary, AB",Montreal Alouettes,"Montreal, QC",1
724,1997,Pro,CFL,Toronto Argonauts,"Toronto, ON",Saskatchewan Roughriders,"Regina, SK",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",2
738,1998,Pro,CFL,Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",1
750,1999,Pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Calgary Stampeders,"Calgary, AB",BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC",1
764,2000,Pro,CFL,BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB",1
777,2001,Pro,CFL,Calgary Stampeders,"Calgary, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON",1
790,2002,Pro,CFL,Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Toronto Argonauts,"Toronto, ON",1
802,2003,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON",1
816,2004,Pro,CFL,Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",Saskatchewan Roughriders,"Regina, SK",Montreal Alouettes,"Montreal, QC",1
828,2005,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",1
842,2006,Pro,CFL,BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON",1
854,2007,Pro,CFL,Saskatchewan Roughriders,"Regina, SK",Winnipeg Blue Bombers,"Winnipeg, MB",Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",1
867,2008,Pro,CFL,Calgary Stampeders,"Calgary, AB",Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",BC Lions,"Vancouver, BC",1
881,2009,Pro,CFL,Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",BC Lions,"Vancouver, BC",Calgary Stampeders,"Calgary, AB",1
894,2010,Pro,CFL,Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",2
907,2011,Pro,CFL,BC Lions,"Vancouver, BC",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON",1
919,2012,Pro,CFL,Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB",BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC",1
931,2013,Pro,CFL,Saskatchewan Roughriders,"Regina, SK",St. Louis Cardinals,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",Los Angeles Dodgers,"Greater Los Angeles, CA",1
944,2014,Pro,CFL,Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",1
957,2015,Pro,CFL,Edmonton Eskimos,"Edmonton, AB",Ottawa Redblacks,"Ottawa, ON",Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON",1
